category,subdir,name,dtype,rows,compute,balanced,memory,latency,ai_min,ai_max,mfu_ceiling,metric,caveat
L1,L1/069_rms_norm,L1/069 residual+rmsnorm h8192,bf16,16,0,0,14,2,0.8,0.8,0.003,BW%,fused (residual + rmsnorm)
FlashInfer-Bench,FlashInfer-Bench/002_fused_add_rmsnorm_h4096,FIB/002 fused_add_rmsnorm h4096,bf16,14,0,0,5,9,0.6,0.8,0.003,per-row regime,
FlashInfer-Bench,FlashInfer-Bench/003_fused_add_rmsnorm_h7168,FIB/003 fused_add_rmsnorm h7168,bf16,8,0,0,3,5,0.6,0.8,0.003,per-row regime,
FlashInfer-Bench,FlashInfer-Bench/023_rmsnorm_h1536,FIB/023 rmsnorm h1536,bf16,8,0,0,2,6,0.8,1.2,0.004,per-row regime,
FlashInfer-Bench,FlashInfer-Bench/026_rmsnorm_h7168,FIB/026 rmsnorm h7168,bf16,8,0,0,2,6,0.8,1.2,0.004,per-row regime,
FlashInfer-Bench,FlashInfer-Bench/005_gemm_n256_k7168,FIB/005 gemm N=256 K=7168 fp16,bf16,17,0,3,0,14,1.0,242.9,0.823,time + speedup_vs_reference,asymptotic AI=247 < ridge 295 → fundamentally memory-bound
Quant,Quant/005_fp8_moe_router_projection,Quant/005 fp8 router N=128 K=3584,fp8,16,0,0,5,11,162.9,235.5,0.399,per-row regime,"FP8 inputs (1B), bf16 output (2B); peak=1979 TFLOPS"
Quant,Quant/015_fp8_mla_attention_output_projection,Quant/015 fp8 o_proj N=7168 K=16384,fp8,16,14,1,1,0,247.7,6199.4,1.000,MFU,FP8 MLA output projection; K=num_heads*v_head_dim=128*128=16384
L1,L1/011_rotary_position_embedding,L1/011 rope_compute D=128,bf16,16,0,0,1,15,2.5,2.5,0.008,time + speedup_vs_reference,
L1,L1/071_kv_cache_update_with_rope,L1/071 kv_cache_update H_kv=10 D=128,bf16,16,0,0,1,15,0.6,0.6,0.002,time + speedup_vs_reference,algorithmic-minimum bytes (in-place); naive impl writes full cache
Quant,Quant/014_fp8_yarn_rope_embedding,Quant/014 fp8_yarn_rope D=64,bf16,16,0,0,3,13,1.6,2.4,0.008,time + speedup_vs_reference,"only computes cos/sin tables — tiny problem, mostly latency"
L1,L1/023_multimodal_rope_position_computation_with_grid_based_indexing,L1/023 multimodal_3d_rope,bf16,16,0,0,2,14,0.0,0.3,0.001,time + speedup_vs_reference,"patch_pos_embeds + cos/sin tables, large pos_embed_weight read"
L2,L2/006_multimodal_rope_position_calculation,L2/006 multimodal_position_calc,bf16,16,0,0,0,16,0.3,0.3,0.001,time + speedup_vs_reference,pure indexing → memory or latency-bound
L1,L1/043_mla_fused_qkv_rope_split,L1/043 mla_fused_qkv_rope_split,bf16,16,13,2,1,0,121.3,1364.0,1.000,MFU,"DS-V3 MLA: q_a→norm→q_b + kv_a, all bf16"
L1,L1/064_latent_kv_expansion_with_split,L1/064 latent_kv_expansion,bf16,16,0,14,2,0,102.1,474.9,1.000,MFU + BW% (both),compressed_kv→norm→kv_b_proj(expand to 128*256)
Quant,Quant/013_fp8_mla_kv_compression_projection,Quant/013 fp8_mla_kv_compression,bf16,16,0,16,0,0,173.1,517.3,1.000,MFU + BW% (both),"bf16 in, FP8 internal: kv_a→split→norm→kv_b"
Quant,Quant/016_fp8_multi_latent_attention_qkv_projection,Quant/016 fp8_mla_qkv_projection,bf16,16,9,6,1,0,114.5,1018.5,1.000,per-row regime,"bf16 in, FP8 internal: full MLA Q+KV (6 GEMMs+2 norms)"
L1,L1/048_fused_gate_up_projection_with_swiglu,L1/048 fused_gate_up_swiglu,bf16,16,11,3,2,0,125.1,3277.9,1.000,per-row regime,"gate+up+silu, NO down. Output is [M, I]."
L1,L1/063_attention_output_reshape_and_projection,L1/063 attn_out_reshape_proj,bf16,16,12,3,1,0,127.6,2248.8,1.000,per-row regime,single GEMM after transpose+reshape; K=heads*v_head_dim=128*128
Quant,Quant/003_fp8_mlp_gate_up_projection,Quant/003 fp8_mlp_gate_up,fp8,16,14,2,0,0,687.6,4759.8,1.000,MFU,"TRUE FP8 inputs (declared fp8), peak=1979 TFLOPS"
Quant,Quant/004_fp8_moe_expert_linear,Quant/004 fp8_moe_expert_linear,bf16,16,14,2,0,0,341.4,1755.8,1.000,MFU,"bf16 in, FP8 internal: gate_up→silu→down (full MLP) + routing_w"
